pH,Moisture (%),Bearing Capacity (kN/m²),Soil Type
7.29,45.86,431.57,Sandy
9.0,31.69,281.37,Clay
7.43,8.79,355.18,Peaty
8.63,37.41,104.36,Clay
6.51,9.15,287.03,Sandy
7.21,6.87,355.8,Sandy
8.73,19.33,223.01,Silty
5.24,32.9,55.75,Sandy
5.11,31.21,221.24,Sandy
4.77,48.99,104.16,Clay
6.55,19.09,223.55,Sandy
4.82,44.33,343.97,Peaty
8.61,14.99,61.02,Peaty
4.58,38.21,209.94,Silty
8.08,49.24,418.43,Silty
5.45,7.08,169.74,Peaty
5.12,44.53,416.49,Clay
5.95,37.3,142.54,Clay
7.72,44.43,309.14,Clay
6.99,24.27,440.28,Loamy
7.74,29.42,65.35,Silty
4.99,45.03,73.24,Peaty
5.05,45.56,368.89,Silty
8.38,49.93,340.5,Clay
5.04,9.88,54.64,Peaty
7.94,39.06,181.34,Sandy
8.05,41.2,369.14,Peaty
6.86,29.01,426.79,Sandy
4.58,17.35,196.88,Peaty
5.49,17.42,230.24,Clay
8.53,18.93,106.52,Clay
6.2,34.0,106.39,Clay
8.11,6.33,208.62,Clay
4.94,32.83,429.64,Silty
6.04,12.86,282.64,Loamy
8.21,12.08,441.15,Sandy
7.52,17.22,405.84,Silty
4.61,10.75,190.75,Sandy
6.24,37.61,420.79,Sandy
5.12,14.58,139.09,Sandy
6.21,35.3,204.12,Sandy
5.46,37.45,247.46,Peaty
8.43,49.69,379.89,Clay
5.19,5.85,163.24,Sandy
5.14,29.9,275.64,Silty
8.77,40.51,125.23,Clay
7.26,48.5,384.44,Peaty
6.48,21.31,325.08,Peaty
4.56,44.68,55.34,Clay
5.08,18.94,376.82,Sandy
7.3,10.37,345.0,Sandy
5.29,20.59,405.44,Sandy
6.37,49.43,63.23,Peaty
8.01,17.1,355.43,Silty
6.64,34.67,396.51,Silty
8.86,34.87,231.98,Loamy
6.34,21.86,446.76,Silty
5.2,19.49,261.63,Clay
4.77,40.34,199.01,Sandy
6.53,24.5,235.23,Clay
7.96,48.61,355.49,Peaty
8.29,6.02,88.05,Loamy
7.41,36.81,277.01,Silty
6.68,20.07,114.77,Loamy
8.24,34.63,403.93,Clay
6.59,45.63,421.56,Peaty
6.87,39.86,160.89,Clay
4.95,17.87,372.56,Sandy
7.02,35.79,235.71,Peaty
8.9,39.48,241.56,Silty
7.85,41.51,173.48,Silty
8.52,44.79,215.57,Silty
8.58,9.11,363.14,Clay
5.18,40.42,421.37,Clay
6.13,28.85,166.11,Loamy
4.61,37.8,418.53,Clay
8.77,19.49,394.39,Loamy
7.18,33.43,83.61,Silty
7.2,6.88,79.09,Silty
8.01,6.83,427.51,Loamy
5.02,27.51,61.31,Silty
5.29,22.14,427.47,Silty
7.67,26.71,219.29,Peaty
6.17,17.35,88.24,Clay
5.78,39.71,416.0,Sandy
6.92,31.51,405.94,Clay
8.04,42.03,419.72,Peaty
6.02,47.42,328.92,Sandy
5.07,37.76,413.55,Peaty
8.88,21.33,331.59,Loamy
7.11,24.07,107.62,Loamy
6.5,32.85,160.51,Loamy
7.63,34.37,294.42,Silty
4.52,46.11,350.66,Clay
7.66,48.98,54.85,Loamy
6.49,6.9,383.45,Silty
4.71,48.94,391.68,Sandy
6.71,10.08,224.29,Peaty
4.64,17.12,73.55,Peaty
7.71,21.31,257.64,Clay
6.21,10.23,352.93,Clay
8.39,46.86,397.98,Clay
5.88,17.53,273.07,Loamy
6.88,32.37,243.16,Clay
6.14,8.11,113.65,Loamy
7.38,31.9,179.89,Loamy
5.86,44.01,332.19,Silty
4.87,21.45,203.19,Loamy
8.31,11.25,68.79,Loamy
5.21,9.41,194.12,Clay
6.45,30.02,413.01,Clay
8.91,9.23,391.67,Silty
4.83,43.94,405.79,Peaty
6.84,7.44,323.4,Loamy
6.71,48.61,223.69,Loamy
4.95,40.04,286.02,Silty
4.53,32.24,300.67,Silty
7.83,15.1,145.97,Sandy
7.12,33.53,427.93,Loamy
7.42,42.05,232.58,Clay
5.35,16.39,222.4,Loamy
4.79,15.2,280.19,Peaty
6.6,39.74,444.68,Peaty
7.45,16.02,279.08,Clay
6.37,34.53,383.96,Sandy
5.4,18.33,50.66,Clay
8.83,8.75,359.9,Sandy
5.71,49.43,173.04,Peaty
8.97,34.4,213.47,Loamy
7.99,15.44,120.05,Silty
5.34,20.86,209.28,Clay
5.29,11.92,160.63,Sandy
8.21,32.45,156.4,Sandy
5.48,36.29,59.06,Silty
7.66,6.49,431.3,Silty
5.28,27.32,410.78,Sandy
5.92,19.03,93.13,Sandy
4.97,25.79,52.04,Peaty
8.48,9.16,175.23,Clay
6.08,19.54,389.72,Sandy
6.1,45.5,320.29,Silty
5.05,16.67,223.69,Sandy
6.95,5.1,372.37,Peaty
7.39,48.04,65.28,Sandy
5.12,11.0,360.02,Loamy
5.82,15.13,63.79,Sandy
7.6,5.1,277.96,Peaty
5.38,18.01,76.75,Loamy
7.71,14.63,133.41,Silty
5.36,10.1,311.54,Peaty
8.53,25.13,232.34,Peaty
8.34,38.42,233.72,Silty
6.68,21.09,108.64,Clay
5.38,14.37,336.79,Silty
8.12,22.82,176.19,Clay
4.64,14.25,211.92,Clay
5.38,26.32,429.62,Silty
8.4,45.06,443.98,Clay
7.66,34.23,215.48,Clay
8.3,45.97,86.83,Peaty
5.26,12.75,204.83,Peaty
5.09,28.68,99.32,Loamy
5.41,25.76,422.15,Clay
5.07,20.3,415.34,Silty
8.09,29.82,315.65,Clay
8.99,5.33,227.29,Silty
5.0,16.58,185.33,Silty
8.49,45.3,232.42,Sandy
7.34,40.93,313.58,Peaty
8.4,37.34,376.67,Clay
6.64,8.64,340.77,Loamy
5.68,9.45,174.8,Loamy
7.77,11.49,86.09,Silty
8.8,6.85,331.39,Loamy
8.11,36.59,265.11,Clay
4.66,44.18,435.58,Clay
6.93,47.24,188.96,Sandy
7.46,21.19,154.69,Peaty
4.91,30.26,255.71,Clay
5.0,8.04,190.92,Peaty
6.15,41.39,130.82,Clay
4.85,34.18,221.04,Clay
5.33,45.67,135.6,Loamy
5.61,11.53,443.11,Silty
4.98,28.9,194.04,Silty
6.36,47.9,103.34,Sandy
7.25,35.65,75.08,Sandy
6.04,48.89,289.52,Loamy
6.0,32.64,234.94,Loamy
5.61,14.23,420.96,Peaty
6.53,27.08,145.45,Sandy
5.08,36.21,226.93,Silty
7.04,35.33,92.66,Sandy
8.27,35.69,223.39,Silty
6.23,22.3,197.28,Loamy
5.37,25.71,79.73,Peaty
7.27,45.03,432.84,Silty
7.6,49.14,217.39,Silty
6.12,10.08,223.99,Clay
6.27,39.99,104.03,Peaty
4.85,10.73,229.77,Sandy
7.3,14.03,282.0,Sandy
5.53,32.56,363.91,Silty
8.0,39.06,180.13,Clay
8.0,37.94,307.02,Clay
8.89,24.1,255.05,Peaty
5.81,32.46,384.07,Loamy
6.75,18.42,447.9,Silty
5.73,33.74,402.92,Clay
6.44,14.75,91.55,Clay
7.43,25.41,190.38,Sandy
8.16,48.81,122.53,Clay
6.16,20.54,197.48,Silty
6.18,10.79,50.14,Peaty
7.24,6.46,339.92,Clay
7.42,5.38,434.49,Peaty
7.46,35.68,169.61,Sandy
8.67,27.79,286.66,Sandy
5.86,48.7,349.01,Clay
8.62,41.66,444.37,Sandy
7.19,32.83,292.07,Peaty
8.85,10.19,357.41,Silty
5.44,43.87,328.74,Sandy
6.22,11.4,207.17,Peaty
5.03,42.48,233.62,Clay
6.89,7.43,326.12,Loamy
8.42,34.86,69.42,Sandy
5.49,6.56,146.45,Silty
7.94,19.25,108.72,Sandy
5.32,34.1,308.0,Peaty
6.38,35.13,124.05,Peaty
5.09,25.65,245.29,Loamy
8.94,47.07,221.38,Silty
5.04,42.22,339.23,Peaty
4.66,32.39,339.05,Silty
8.15,5.65,111.88,Clay
8.15,21.43,343.42,Peaty
7.87,36.62,96.07,Loamy
8.11,37.99,118.73,Silty
5.68,47.4,211.94,Peaty
5.26,42.19,432.15,Sandy
6.56,28.36,412.22,Clay
7.12,30.88,255.52,Loamy
7.73,29.47,357.18,Peaty
7.7,10.29,428.84,Peaty
5.96,27.71,245.05,Peaty
6.37,46.39,397.98,Loamy
8.08,35.17,303.94,Clay
8.36,48.04,188.41,Sandy
7.63,26.15,353.59,Silty
7.38,17.42,278.13,Peaty
5.33,17.46,353.4,Silty
6.28,22.13,244.38,Clay
8.72,28.76,222.34,Loamy
6.7,19.4,155.52,Clay
6.71,18.04,192.11,Peaty
8.13,40.02,157.91,Loamy
5.2,22.87,403.59,Silty
4.93,30.72,261.7,Loamy
7.69,19.23,174.95,Peaty
8.5,49.76,390.65,Sandy
4.85,28.13,101.08,Silty
6.67,29.24,367.93,Silty
5.99,24.73,128.97,Peaty
8.19,43.57,414.5,Peaty
5.13,17.44,232.77,Sandy
6.79,32.34,367.26,Loamy
8.44,49.94,217.97,Sandy
7.74,46.5,295.68,Silty
7.64,21.04,135.23,Peaty
5.61,30.08,169.8,Silty
8.35,13.52,310.75,Clay
8.61,36.18,423.56,Silty
7.73,45.01,176.75,Silty
8.14,5.06,149.07,Silty
8.74,23.01,369.27,Peaty
8.96,44.2,285.74,Peaty
7.99,23.32,86.35,Peaty
6.15,27.52,364.43,Peaty
6.57,10.95,323.45,Loamy
4.71,21.98,127.79,Loamy
6.03,20.3,376.86,Silty
5.88,45.49,432.07,Sandy
6.89,26.68,393.66,Peaty
7.02,18.58,84.87,Silty
6.52,38.03,54.52,Sandy
4.58,14.51,329.29,Sandy
5.93,39.53,102.2,Peaty
8.76,49.17,304.68,Loamy
6.91,15.13,223.99,Loamy
4.93,46.8,137.4,Silty
5.27,48.52,322.19,Clay
6.22,45.89,191.94,Silty
6.39,33.83,396.61,Clay
8.14,6.22,303.19,Silty
8.37,34.32,114.28,Clay
6.65,25.56,184.51,Clay
7.48,36.38,149.11,Silty
5.5,18.03,302.28,Silty
8.58,44.58,224.62,Clay
6.6,8.68,405.42,Sandy
8.22,15.3,137.88,Clay
7.07,6.24,420.35,Loamy
5.83,20.97,224.59,Clay
5.53,44.54,428.7,Sandy
5.82,7.63,152.62,Peaty
7.9,13.86,162.63,Silty
8.13,43.32,87.21,Peaty
8.81,27.14,234.83,Peaty
5.53,23.94,156.75,Clay
6.14,10.19,364.86,Peaty
7.95,29.46,442.01,Peaty
8.28,38.55,410.29,Peaty
6.38,9.75,427.68,Silty
8.09,17.03,388.52,Silty
7.67,31.43,441.4,Silty
5.71,12.15,202.25,Clay
8.65,27.52,411.92,Peaty
8.86,7.93,332.3,Silty
6.16,43.53,148.38,Peaty
4.58,12.45,437.08,Sandy
8.07,13.02,276.94,Silty
5.92,25.27,276.6,Sandy
5.26,26.0,164.3,Loamy
6.07,37.87,127.86,Loamy
6.21,25.09,401.3,Peaty
5.1,39.79,442.53,Silty
7.56,7.79,198.46,Clay
7.49,33.91,256.9,Silty
5.95,42.23,162.91,Clay
8.44,18.76,289.92,Peaty
4.8,45.61,348.13,Silty
6.7,13.98,415.99,Sandy
8.34,20.05,313.6,Peaty
4.95,25.74,318.79,Clay
4.6,13.18,154.81,Silty
6.19,13.89,125.79,Clay
5.99,6.49,378.01,Clay
8.3,23.62,177.98,Peaty
8.46,26.98,413.1,Loamy
5.93,14.74,403.78,Silty
7.63,24.41,108.35,Silty
5.41,8.07,330.65,Silty
6.69,34.31,171.23,Peaty
8.99,37.74,334.25,Peaty
4.55,47.72,141.56,Loamy
6.63,38.63,273.7,Clay
7.62,26.3,211.22,Loamy
5.63,13.76,193.55,Peaty
4.54,44.09,178.94,Loamy
4.84,44.43,247.83,Loamy
8.99,36.82,278.93,Peaty
5.73,28.28,226.71,Silty
4.71,49.72,289.54,Peaty
8.73,32.17,249.49,Sandy
4.7,5.59,448.38,Peaty
6.33,13.0,72.83,Silty
6.28,6.53,99.7,Sandy
6.05,16.95,176.52,Peaty
5.89,42.98,69.42,Sandy
8.03,20.13,407.76,Loamy
5.8,32.51,439.19,Peaty
4.96,41.8,72.08,Sandy
5.82,10.79,173.48,Peaty
8.45,5.11,162.24,Silty
7.73,21.51,136.31,Clay
7.76,22.27,331.68,Peaty
5.92,34.28,140.6,Silty
4.59,13.62,91.79,Sandy
6.29,19.99,344.56,Clay
5.17,29.97,78.51,Silty
8.86,41.89,86.61,Loamy
7.29,14.78,437.13,Clay
4.77,9.81,147.13,Peaty
4.96,43.0,222.96,Sandy
8.18,43.72,374.55,Peaty
5.48,45.78,110.82,Loamy
8.8,19.11,159.5,Sandy
7.37,23.25,280.31,Loamy
6.04,47.93,308.99,Loamy
4.69,9.66,108.55,Peaty
5.99,32.37,310.14,Silty
4.92,23.22,338.16,Sandy
5.99,29.61,208.02,Sandy
7.25,20.83,148.69,Silty
5.69,39.91,190.14,Peaty
7.81,13.83,106.82,Sandy
7.94,49.91,66.53,Peaty
5.75,19.43,210.15,Clay
6.37,11.44,357.8,Silty
7.69,20.69,130.17,Loamy
5.9,29.56,342.15,Clay
7.15,10.87,256.76,Peaty
6.36,35.21,398.64,Sandy
6.61,32.59,418.41,Silty
8.4,22.39,125.25,Clay
4.79,21.48,102.9,Clay
6.74,45.62,410.76,Silty
7.04,35.87,304.6,Silty
6.37,15.13,192.95,Loamy
7.45,25.03,355.18,Peaty
7.36,41.26,161.38,Peaty
8.13,28.53,341.54,Loamy
6.68,29.61,226.61,Loamy
5.59,7.32,171.03,Silty
5.91,16.93,430.4,Loamy
4.58,6.71,111.84,Sandy
7.26,49.19,429.63,Silty
6.64,37.43,299.88,Silty
4.61,18.74,354.26,Clay
5.89,33.98,360.78,Silty
6.12,33.53,110.79,Silty
6.75,8.9,368.71,Loamy
7.89,10.38,420.24,Silty
5.82,24.06,152.74,Clay
7.17,22.14,257.93,Silty
5.12,27.97,424.03,Peaty
6.62,8.12,258.03,Loamy
5.23,17.65,281.64,Peaty
8.24,26.29,222.7,Silty
8.52,39.79,194.17,Silty
5.47,7.13,191.84,Loamy
5.38,13.16,304.51,Peaty
6.51,6.94,82.74,Loamy
8.29,45.19,268.66,Peaty
6.78,37.34,248.57,Clay
4.59,29.54,171.04,Clay
7.2,28.33,392.59,Silty
7.42,19.33,290.42,Clay
7.3,34.62,371.43,Clay
7.11,18.04,149.29,Loamy
7.14,11.57,187.55,Loamy
6.2,23.16,325.18,Silty
7.57,22.58,159.62,Clay
5.92,17.06,322.94,Peaty
5.7,28.41,208.79,Sandy
7.38,16.35,227.54,Peaty
7.1,13.41,126.92,Peaty
5.47,8.13,120.28,Peaty
5.42,6.35,321.83,Sandy
7.96,27.98,281.25,Loamy
8.53,31.68,209.57,Peaty
5.23,45.73,103.16,Sandy
4.6,48.18,241.53,Clay
8.48,23.88,193.65,Sandy
6.72,49.61,445.05,Sandy
4.76,10.72,396.2,Peaty
8.89,16.9,180.69,Sandy
4.51,10.22,239.75,Silty
6.73,36.24,129.67,Peaty
8.2,16.89,290.07,Loamy
6.19,44.43,302.85,Loamy
6.93,48.35,76.07,Clay
5.98,36.93,248.13,Peaty
7.74,48.76,209.15,Loamy
6.26,27.15,260.87,Peaty
7.06,48.84,108.6,Clay
8.99,17.89,342.99,Clay
8.8,13.32,94.6,Clay
8.74,31.36,142.05,Loamy
8.34,6.57,54.55,Silty
4.88,34.09,414.69,Loamy
5.99,32.29,264.37,Loamy
7.26,27.12,123.55,Loamy
5.16,33.72,416.27,Silty
4.92,9.27,165.64,Silty
8.48,16.61,200.81,Silty
6.36,26.39,125.82,Peaty
6.14,25.92,180.88,Sandy
5.41,44.76,252.46,Loamy
8.8,21.06,436.73,Loamy
6.5,31.93,111.75,Silty
8.92,13.01,147.9,Sandy
5.71,12.95,301.76,Sandy
7.27,23.62,225.47,Sandy
7.31,22.05,70.58,Clay
6.41,6.92,313.99,Silty
5.74,48.63,386.47,Silty
5.98,19.46,420.69,Peaty
4.66,26.33,447.54,Loamy
7.65,7.77,420.77,Peaty
6.07,46.58,405.17,Clay
8.42,35.7,367.64,Clay
5.36,8.07,51.84,Peaty
6.38,21.19,141.32,Silty
6.88,49.11,59.46,Loamy
4.71,41.58,225.7,Sandy
8.9,15.06,271.12,Silty
4.97,6.83,142.07,Peaty
8.1,32.49,254.84,Clay
8.84,44.02,176.71,Silty
8.41,18.98,341.8,Clay
6.14,43.72,99.21,Silty
7.56,47.84,410.89,Loamy
4.99,34.38,404.15,Silty
7.51,25.86,237.95,Sandy
8.09,44.4,392.22,Silty
5.1,25.07,372.98,Clay
8.51,29.11,362.04,Loamy
7.7,36.72,336.2,Peaty
8.83,15.9,232.82,Peaty
5.48,39.53,52.19,Peaty
6.53,35.14,79.6,Peaty
7.16,34.92,364.85,Peaty
8.9,9.28,193.66,Sandy
4.76,26.05,76.05,Clay
6.81,20.21,53.76,Sandy
7.99,30.79,384.28,Clay
5.63,21.35,336.93,Sandy
8.17,18.01,260.22,Clay
7.14,9.96,368.46,Clay
8.33,37.1,135.22,Loamy
5.13,44.32,298.64,Silty
8.33,9.46,166.53,Silty
7.66,36.6,51.06,Peaty
6.14,32.35,401.08,Sandy
8.14,16.87,254.4,Sandy
5.82,14.05,323.66,Silty
6.14,34.51,279.83,Peaty
5.82,38.23,223.92,Silty
8.73,5.8,253.18,Loamy
6.33,47.66,261.14,Loamy
5.94,37.41,272.91,Silty
6.91,33.58,322.27,Loamy
7.43,26.53,84.27,Sandy
6.56,34.24,80.63,Sandy
6.81,49.98,71.95,Sandy
6.72,29.42,320.16,Loamy
7.74,27.49,389.83,Loamy
8.86,9.2,91.82,Clay
7.79,30.85,176.28,Silty
5.35,15.5,232.33,Loamy
7.69,16.98,275.84,Peaty
6.99,41.76,57.92,Peaty
7.26,26.07,103.96,Loamy
7.98,33.1,411.76,Loamy
8.54,47.68,432.06,Silty
6.13,21.35,285.35,Clay
7.48,25.9,367.13,Loamy
8.78,18.66,381.58,Silty
4.95,15.88,62.92,Loamy
7.22,13.71,66.78,Loamy
6.62,40.52,275.71,Sandy
5.17,41.46,362.74,Clay
6.97,29.17,310.67,Sandy
5.59,37.0,352.16,Silty
7.95,12.46,352.11,Sandy
6.76,11.68,297.9,Silty
7.54,21.73,63.95,Sandy
7.74,40.51,431.2,Peaty
6.21,46.19,258.16,Sandy
8.82,46.43,413.83,Loamy
4.8,17.84,407.44,Sandy
7.2,44.72,240.3,Loamy
5.41,36.64,58.15,Peaty
4.99,35.35,315.57,Silty
5.76,9.4,385.32,Silty
4.83,10.2,382.97,Silty
8.73,42.49,321.87,Sandy
5.32,30.69,149.3,Sandy
7.06,47.6,334.66,Sandy
6.29,16.97,294.06,Loamy
7.99,43.27,166.52,Silty
5.23,20.44,384.1,Silty
6.86,26.97,433.01,Clay
5.5,35.58,104.13,Peaty
6.33,40.71,281.49,Loamy
5.51,41.95,77.05,Sandy
6.76,46.68,430.61,Clay
5.19,44.18,408.2,Peaty
7.12,8.65,204.21,Loamy
4.96,34.76,66.63,Silty
8.62,29.84,222.13,Clay
7.89,12.26,118.29,Loamy
8.22,25.08,207.9,Sandy
5.67,21.36,201.79,Clay
8.54,12.71,270.85,Clay
8.25,39.55,156.98,Sandy
5.36,8.15,430.62,Loamy
6.04,23.7,365.71,Silty
8.92,42.1,201.7,Clay
4.72,43.81,323.36,Clay
7.12,32.92,313.61,Peaty
7.59,8.55,144.29,Sandy
8.65,45.3,449.7,Sandy
5.42,32.83,142.97,Loamy
7.03,15.97,426.03,Loamy
7.66,10.07,97.47,Clay
6.3,49.82,348.39,Silty
6.68,34.69,166.33,Silty
8.31,18.19,444.39,Peaty
5.19,47.58,289.02,Loamy
5.54,48.98,352.74,Silty
5.75,48.0,130.68,Peaty
5.95,40.62,286.25,Loamy
8.61,9.75,112.22,Loamy
6.67,25.82,185.83,Silty
4.98,34.01,349.14,Silty
5.76,49.91,53.41,Sandy
7.25,23.65,426.65,Silty
8.72,30.35,172.75,Silty
7.37,7.64,264.61,Silty
6.76,28.7,385.65,Peaty
6.51,41.42,156.78,Clay
6.23,32.07,133.67,Sandy
7.43,44.98,175.16,Peaty
7.18,5.23,345.55,Sandy
4.83,34.24,112.92,Loamy
7.39,27.21,122.79,Sandy
6.66,41.84,332.77,Clay
8.8,10.79,90.63,Sandy
5.6,25.85,260.67,Silty
7.56,20.6,381.45,Silty
7.57,40.51,260.5,Loamy
8.73,5.99,161.93,Clay
7.08,24.2,400.45,Clay
6.65,40.0,340.42,Peaty
8.71,38.01,261.42,Clay
8.64,40.36,217.62,Sandy
5.07,33.79,378.72,Peaty
6.42,49.94,220.31,Loamy
8.46,29.69,251.58,Silty
5.8,29.02,313.76,Sandy
7.2,49.23,365.54,Sandy
5.99,48.57,157.3,Silty
8.65,14.08,351.75,Peaty
8.88,8.39,63.51,Clay
8.44,31.97,362.47,Sandy
8.2,42.68,236.8,Clay
5.16,32.28,316.83,Peaty
9.0,10.02,195.83,Loamy
6.96,40.75,337.27,Loamy
8.85,46.45,175.42,Silty
4.54,47.79,223.77,Sandy
6.38,33.36,361.0,Peaty
5.2,11.96,109.16,Sandy
5.01,16.54,187.99,Loamy
6.29,45.22,275.98,Silty
5.03,20.07,404.74,Loamy
8.48,44.59,135.15,Clay
6.56,15.92,325.89,Loamy
8.5,26.47,105.97,Peaty
4.74,28.81,345.42,Silty
7.75,9.37,116.02,Clay
5.22,38.14,190.56,Silty
8.39,37.71,404.86,Peaty
4.94,10.61,264.0,Clay
7.29,46.04,181.03,Clay
6.63,17.99,290.25,Sandy
7.4,35.63,106.51,Sandy
5.85,36.06,83.21,Clay
6.3,20.93,369.08,Peaty
5.09,27.71,52.33,Peaty
6.57,20.97,55.01,Clay
7.67,13.91,156.85,Sandy
4.72,36.8,216.82,Silty
6.2,36.7,418.05,Silty
6.32,43.22,301.14,Peaty
7.68,26.66,291.53,Silty
5.67,32.04,163.01,Silty
8.53,6.52,297.76,Sandy
5.88,10.22,132.27,Clay
8.26,47.72,401.35,Sandy
6.03,6.46,191.45,Silty
7.91,18.52,306.11,Clay
7.65,26.82,420.7,Clay
7.74,30.98,357.85,Sandy
7.61,29.57,420.73,Peaty
4.74,20.84,263.26,Peaty
6.21,30.08,179.94,Peaty
6.83,30.6,144.99,Peaty
6.39,19.95,285.98,Sandy
7.26,31.47,352.98,Loamy
5.54,37.23,362.27,Peaty
8.16,7.2,431.58,Sandy
5.09,44.23,239.97,Silty
8.87,34.64,51.67,Peaty
6.01,9.8,370.94,Loamy
8.57,48.0,91.97,Silty
5.8,28.17,253.65,Silty
7.07,34.09,309.29,Sandy
7.57,27.72,269.22,Silty
4.66,11.23,139.16,Silty
6.27,5.18,329.57,Silty
5.47,27.84,343.85,Silty
8.44,19.02,187.91,Silty
6.42,14.73,343.71,Sandy
6.1,19.41,104.03,Loamy
5.71,21.2,325.03,Clay
6.74,32.44,414.76,Sandy
8.1,42.24,277.61,Sandy
5.27,9.95,287.19,Clay
5.61,41.97,266.57,Clay
5.01,17.78,83.23,Loamy
7.73,14.75,129.87,Clay
6.76,45.98,244.31,Loamy
6.64,35.49,377.8,Sandy
5.83,32.14,255.69,Sandy
8.91,45.0,179.04,Loamy
7.65,44.57,396.12,Clay
5.95,17.38,151.6,Silty
7.92,25.69,97.25,Silty
8.05,25.17,236.01,Loamy
7.41,12.79,306.1,Sandy
6.45,39.4,51.63,Silty
7.78,47.26,212.56,Peaty
7.73,31.51,175.57,Clay
7.71,47.69,432.12,Peaty
6.36,41.09,328.05,Sandy
4.72,45.47,298.82,Silty
8.03,49.71,159.18,Sandy
7.69,45.24,342.44,Silty
4.98,24.02,347.92,Peaty
5.96,9.41,82.9,Clay
8.1,49.3,79.43,Peaty
4.72,33.84,343.81,Sandy
4.99,29.2,275.53,Sandy
7.3,46.49,160.68,Loamy
5.82,24.93,234.67,Clay
5.43,13.66,386.03,Clay
8.07,38.5,58.28,Sandy
7.53,21.52,169.86,Clay
5.99,39.04,331.56,Clay
5.28,7.78,383.34,Loamy
4.77,41.52,216.34,Silty
6.84,18.56,366.81,Sandy
8.1,34.89,215.48,Clay
8.23,46.89,337.55,Loamy
7.98,47.89,309.4,Sandy
6.35,15.08,346.46,Peaty
4.6,39.6,77.97,Silty
5.78,24.23,157.87,Silty
5.19,33.61,124.12,Peaty
4.81,7.22,203.5,Silty
6.25,19.19,68.77,Peaty
7.61,33.65,411.23,Clay
7.33,6.65,177.48,Clay
5.62,15.82,68.26,Clay
6.22,5.19,123.21,Peaty
7.87,49.34,105.09,Loamy
5.42,6.13,108.53,Peaty
5.55,19.01,264.9,Silty
7.26,26.01,225.61,Sandy
5.53,32.71,118.88,Loamy
7.92,32.51,386.31,Loamy
8.34,46.34,319.12,Sandy
5.65,25.29,77.09,Silty
7.53,18.23,384.62,Sandy
5.57,43.62,179.13,Clay
8.42,17.42,131.75,Clay
4.88,31.94,313.34,Clay
7.99,47.83,365.28,Silty
5.74,49.2,410.39,Sandy
4.58,46.45,89.42,Sandy
6.17,38.8,66.65,Silty
7.28,45.13,137.81,Loamy
4.95,38.5,129.24,Peaty
5.85,47.91,444.88,Silty
8.12,30.27,317.56,Peaty
8.94,19.89,378.79,Peaty
7.68,14.36,299.68,Clay
7.74,21.98,364.94,Clay
7.94,19.91,135.6,Peaty
8.95,42.87,93.79,Peaty
8.5,40.67,212.56,Silty
6.38,22.39,308.84,Sandy
8.05,6.31,276.74,Silty
4.74,34.45,262.22,Clay
6.47,7.53,388.65,Silty
7.7,31.93,165.09,Peaty
8.24,9.05,202.47,Clay
7.18,41.95,208.88,Peaty
6.52,35.16,278.48,Clay
8.76,25.01,192.55,Loamy
6.73,17.09,86.58,Clay
7.04,24.24,184.46,Sandy
5.36,48.63,290.58,Sandy
7.14,37.18,64.47,Sandy
7.45,47.77,160.34,Loamy
4.98,18.46,69.19,Peaty
5.56,33.55,384.44,Sandy
6.74,28.81,105.17,Sandy
8.1,23.5,173.96,Clay
7.9,44.98,113.46,Loamy
5.41,28.5,370.58,Silty
7.99,16.96,399.9,Sandy
6.2,39.85,80.7,Peaty
6.94,17.73,385.52,Clay
8.95,14.01,188.96,Sandy
5.27,5.73,348.24,Peaty
4.85,40.22,281.27,Loamy
5.09,22.59,178.7,Silty
8.98,33.08,420.08,Clay
8.56,17.72,121.73,Silty
8.17,40.19,374.37,Clay
7.81,8.23,287.45,Silty
7.83,49.51,261.96,Clay
5.93,10.63,331.24,Clay
7.27,39.91,288.23,Peaty
6.05,25.6,161.9,Loamy
8.89,49.17,306.49,Sandy
6.71,22.51,315.42,Loamy
8.22,43.32,307.67,Loamy
8.61,49.18,61.67,Clay
7.8,20.31,449.02,Silty
4.73,14.42,96.45,Silty
8.8,6.51,353.34,Peaty
8.47,35.28,145.91,Clay
7.16,43.07,279.21,Peaty
4.55,22.16,315.42,Silty
6.27,25.86,142.13,Sandy
6.34,31.23,402.03,Clay
6.67,40.65,119.84,Sandy
8.68,45.5,284.52,Loamy
7.43,38.23,258.68,Peaty
5.98,23.95,370.26,Clay
5.76,9.24,310.51,Loamy
6.42,20.1,212.46,Loamy
7.37,16.63,128.8,Clay
7.48,34.0,108.51,Clay
6.02,46.3,394.16,Loamy
7.39,13.58,373.99,Sandy
7.81,48.2,126.82,Clay
4.77,23.77,316.08,Clay
5.82,23.01,350.62,Loamy
8.47,14.83,204.38,Sandy
5.68,30.51,98.23,Silty
4.57,5.56,160.59,Sandy
8.33,37.71,319.1,Sandy
7.28,8.11,414.66,Silty
8.19,17.39,81.73,Silty
6.55,49.19,226.88,Loamy
4.91,29.24,408.17,Sandy
7.47,42.95,180.06,Sandy
7.9,37.3,172.41,Sandy
6.49,29.67,222.39,Clay
8.75,44.53,274.89,Peaty
8.51,47.77,419.07,Silty
7.08,46.66,316.51,Loamy
5.07,47.12,113.61,Sandy
8.33,43.77,330.57,Silty
5.85,34.87,232.78,Clay
6.02,14.34,286.67,Clay
